ward,subcounty,county,latitude,longitude
Chewani Ward,Galole Sub County,TANA RIVER,-1.352079566903387,39.99658745275675
Kinakomba Ward,Galole Sub County,TANA RIVER,-1.7044829895823204,39.967015923929516
Kanyasa Ward,Nyatike Sub County,Migori,-0.8187433544471235,34.21770959003831
North Kadem Ward,Nyatike Sub County,Migori,-0.9075544810785551,34.250869546788785
Macalder/kanyarwanda Ward,Nyatike Sub County,Migori,-0.9804569429835771,34.265558940926816
Kaler Ward,Nyatike Sub County,Migori,-1.0746004520430765,34.234599621132425
Got Kachola Ward,Nyatike Sub County,Migori,-1.0070987988037263,34.18876891573271
Muhuru Ward,Nyatike Sub County,Migori,-1.025066426670932,34.11996405834064
Bukira East Ward,Kuria West Sub County,Migori,-1.1976403875111856,34.61292438559069
Bukira Central/ikerege Ward,Kuria West Sub County,Migori,-1.197461379687126,34.56194843845875
Isibania Ward,Kuria West Sub County,Migori,-1.2379317503139964,34.4783879846382
Airport Ward,Changamwe Sub County,Mombasa,-4.033415742948509,39.605581420977806
FAZA,LAMU EAST,LAMU,-2.1036031665223285,41.07189101852296
KIUNGA,LAMU EAST,LAMU,-1.800858463443165,41.37196582871058
BASUBA,LAMU EAST,LAMU,-1.8323624317204787,41.03157871650667
SHELLA,LAMU WEST,LAMU,-2.272048016989966,40.939880707768594
MKOMAMI,LAMU WEST,LAMU,-2.2887530955849154,40.85523015485564
HINDI,LAMU WEST,LAMU,-2.034893837650555,40.73644986438626
Bangale Ward,Bura Sub County,TANA RIVER,-0.4310120081770396,38.93578650674843
Sala Ward,Bura Sub County,TANA RIVER,-0.5839611599577819,39.61288783715112
HONGWE,LAMU WEST,LAMU,-2.3811689708487545,40.62442392192648
Lusheya Lubinu Ward,Mumias East Sub County,Kakamega,0.299510219017736,34.53564878629545
Malaha Isongo Makunga Ward,Mumias East Sub County,Kakamega,0.3167834260152128,34.60973236663272
East Wanga Ward,Mumias East Sub County,Kakamega,0.3476873916407212,34.57131442600467
Koyonzo Ward,Matungu Sub County,Kakamega,0.3688735388832237,34.416035142850596
Kholera Ward,Matungu Sub County,Kakamega,0.42486635637157083,34.501939300024844
Khalaba Ward,Matungu Sub County,Kakamega,0.42680883764127214,34.55838989436969
Chala Ward,Taveta Sub County,TAITA TAVETA,-3.2675036278814087,37.75565730552813
Mokerero Ward,Kuria West Sub County,Migori,-1.2303809195071245,34.507161775318046
Mata Ward,Taveta Sub County,TAITA TAVETA,-3.5168959439959386,37.978623557535094
Tagare Ward,Kuria West Sub County,Migori,-1.1689809616594014,34.47376299660114
