ward,subcounty,county,latitude,longitude
Charagita Ward,Oljoroorok Sub County,NYANDARUA,-0.14046984329496756,36.291301600445266
Kabuchai/chwele Ward,Kabuchai Sub County,Bungoma,0.7053758616514989,34.576228679292264
Bwake/luuya Ward,Kabuchai Sub County,Bungoma,0.6591187351118548,34.62940728727408
Mumoni Ward,Mwingi North Sub County,KITUI,-0.5969663356790245,38.00122159853961
Tseikuru Ward,Mwingi North Sub County,KITUI,-0.2584095662719809,38.344728089540766
Tharaka Ward,Mwingi North Sub County,KITUI,-0.366579467239217,38.04725996853355
Kyome/thaana Ward,Mwingi West Sub County,KITUI,-0.9821089208156438,37.93448265267368
Nguutani Ward,Mwingi West Sub County,KITUI,-1.0947321372723742,37.923479638482206
Migwani Ward,Mwingi West Sub County,KITUI,-1.0806642614909427,38.07897086444085
Kiomo/kyethani Ward,Mwingi West Sub County,KITUI,-0.8715060048877245,37.97158402445713
Central Ward,Mwingi Central Sub- County,KITUI,-0.9818630689145748,38.09248597272062
Kivou Ward,Mwingi Central Sub- County,KITUI,-0.9200741649312328,38.13101725398685
Nguni Ward,Mwingi Central Sub- County,KITUI,-0.834699972213382,38.551806704747754
Nuu Ward,Mwingi Central Sub- County,KITUI,-1.0421618690519767,38.52770580314026
Mui Ward,Mwingi Central Sub- County,KITUI,-1.0359470288412544,38.22718609981268
South Bukusu Ward,Bumula Sub County,Bungoma,0.5331321983916358,34.48895650832658
Iria-ini Ward,Nyeri South Sub County,NYERI,-0.5513585762600575,36.89895161839436
Chinga Ward,Nyeri South Sub County,NYERI,-0.5872215615104427,36.89747904576593
Nakalale Ward,Turkana West Sub County,TURKANA,3.6741022210452474,35.17238909675665
Kwavonza/yatta Ward,Kitui Rural Sub County,KITUI,-1.3500090494537091,37.76883407242608
Kanyangi Ward,Kitui Rural Sub County,KITUI,-1.772765378399039,37.929573139828506
Miambani Ward,Kitui Central  Sub County,KITUI,-1.2339028031348693,38.10782209708451
Township Ward,Kitui Central  Sub County,KITUI,-1.3532142793672075,38.00483518410358
Kyangwithya west Ward,Kitui Central  Sub County,KITUI,-1.4130999870454046,37.92757945579972
Riwo Ward,West Pokot Sub County,WEST POKOT,1.4321306255934587,35.04339763034371
Suam Ward,Pokot North Sub County,WEST POKOT,1.4538177545220332,34.90540239786831
Kodich Ward,Pokot North Sub County,WEST POKOT,1.6225759888601423,35.047290143717596
Kasei Ward,Pokot North Sub County,WEST POKOT,1.9718675291179628,35.25923323047375
Kapchok Ward,Pokot North Sub County,WEST POKOT,1.8176839114208745,35.08509898460659
Kiwawa Ward,Pokot North Sub County,WEST POKOT,2.1192469860492817,35.12730810572753
Miritini Ward,Jomvu  Sub County,Mombasa,-4.017980746758274,39.58529802060694
Chaik Ward,Belgut Sub County,KERICHO,-0.40605657383259725,35.31111223571962
Bumula Ward,Bumula Sub County,Bungoma,0.5312436417831757,34.43606335535728
Khasoko Ward,Bumula Sub County,Bungoma,0.48317473592399485,34.42191729713515
Maralal Ward,Samburu Central Sub County,SAMBURU,1.11262778979015,36.711759823197376
Bute Ward,Wajir North Sub County,WAJIR,3.2638350825010587,39.452843778873266
Nzambani Ward,Kitui East Sub County,KITUI,-1.422291007362624,38.0502365243941
West Bukusu Ward,Bumula Sub County,Bungoma,0.5966222908291332,34.478444885938885
Township Ward,Kanduyi Sub County,Bungoma,0.5760659681554953,34.55410375226652
Khalaba Ward,Kanduyi Sub County,Bungoma,0.5721486507014164,34.56089696458032
Musikoma Ward,Kanduyi Sub County,Bungoma,0.5445700703167482,34.535634611641655
East Sang'alo Ward,Kanduyi Sub County,Bungoma,0.49326545228070523,34.63056333684466
Marakaru/tuuti Ward,Kanduyi Sub County,Bungoma,0.6423799446986341,34.52744340146982
West Sang'alo Ward,Kanduyi Sub County,Bungoma,0.5117014829127778,34.586172311734195
Mihuu Ward,Webuye  East Sub County,Bungoma,0.6434578918686596,34.79014690983358
Ndivisi Ward,Webuye  East Sub County,Bungoma,0.7084135272054923,34.79638172011588
Maraka Ward,Webuye  East Sub County,Bungoma,0.5773006295534356,34.757717545485434
Misikhu Ward,Webuye West Sub County,Bungoma,0.6937201776638052,34.72131824304607
Sitikho Ward,Webuye West Sub County,Bungoma,0.5327242245465335,34.69849090403956
Matulo Ward,Webuye West Sub County,Bungoma,0.6179094191954517,34.736572747796586
Hirimani Ward,Bura Sub County,TANA RIVER,-0.9893326557147896,39.35017077084801
Mnarani Ward,Kilifi North Sub County,Kilifi,-3.695861182538701,39.82469631598195
Mumias North Ward,Mumias West  Sub County,Kakamega,0.3577435317112642,34.52419078453927
Wayu Ward,Galole Sub County,TANA RIVER,-1.4886623891694868,39.37688415550162
Ikutha Ward,Kitui South Sub County,KITUI,-2.0564598942764087,38.225941182302996
Athi Ward,Kitui South Sub County,KITUI,-2.4476057731204737,38.53960840165204
Tulimani Ward,Mbooni  Sub County,MAKUENI,-1.5781655831984693,37.40897451488085
Mbooni Ward,Mbooni  Sub County,MAKUENI,-1.6488422972452201,37.440453576542204
Kithungo/Kitundu Ward,Mbooni  Sub County,MAKUENI,-1.688634240852892,37.47745845635741
Kiteta-Kisau Ward,Mbooni  Sub County,MAKUENI,-1.605199316388545,37.52348170853821
Waia/Kako Ward,Mbooni  Sub County,MAKUENI,-1.6621200620486256,37.62213247159402
Kalawa/ Kathulumbi Ward,Mbooni  Sub County,MAKUENI,-1.6891922413124765,37.75415408336278
Kasikeu Ward,Kilome Sub County,MAKUENI,-1.9523205274290625,37.35607945118755
Mukaa Ward,Kilome Sub County,MAKUENI,-1.847579408161132,37.32351791096087
Kiima Kiu/Kalanzoni Ward,Kilome Sub County,MAKUENI,-1.8349325781427275,37.224455570113705
Ukia ward,Kaiti  Sub County,MAKUENI,-1.7606493509623482,37.51474969581158
Kee ward,Kaiti  Sub County,MAKUENI,-1.7299238344369323,37.360242525788955
Kilungu ward,Kaiti  Sub County,MAKUENI,-1.7934884211891364,37.37670899815754
Ilima ward,Kaiti  Sub County,MAKUENI,-1.8310029380577753,37.425421331314716
Wote Ward,Makueni  Sub County,MAKUENI,-1.7938646324146899,37.5985247007287
Muvau/Kikumini Ward,Makueni  Sub County,MAKUENI,-1.8592660795462466,37.65324917168019
Mavindini Ward,Makueni  Sub County,MAKUENI,-1.8569112283558025,37.810331723540294
Kitise/Kithuki Ward,Makueni  Sub County,MAKUENI,-2.0278400284486873,37.87615412815242
Kathonzweni Ward,Makueni  Sub County,MAKUENI,-1.9847903548049066,37.74976890792632
Nzaui/Kilili/Kalamba Ward,Makueni  Sub County,MAKUENI,-1.9155387302038394,37.53800138828752
Mbitini Ward,Makueni  Sub County,MAKUENI,-1.9682515205870132,37.44979196016017
Makindu Ward,Kibwezi West  Sub County,MAKUENI,-2.2201967014388506,37.79288617580437
Nguumo Ward,Kibwezi West  Sub County,MAKUENI,-2.3350639128410178,37.88589342618743
Kikumbulyu North Ward,Kibwezi West  Sub County,MAKUENI,-2.2637258068468684,38.02239575992199
Kikumbulyu South Ward,Kibwezi West  Sub County,MAKUENI,-2.3658189337669575,37.99506876143443
Nguu/Masumba Ward,Kibwezi West  Sub County,MAKUENI,-2.0690600095880582,37.63175982447764
Etenje Ward,Mumias West  Sub County,Kakamega,0.2735698500375481,34.431459466259874
Musanda Ward,Mumias West  Sub County,Kakamega,0.22241418481342642,34.43528342051827
Bomani Ward,Taveta Sub County,TAITA TAVETA,-3.410315208803479,37.68678775550855
Mboghoni Ward,Taveta Sub County,TAITA TAVETA,-3.463372479860399,37.67045326741391
Kasigau Ward,Voi Sub County,TAITA TAVETA,-3.872527276324868,38.66002334637457
Jarajila Ward,Fafi Sub County,GARISSA,-0.39715345005620634,40.74974704481069
Fafi Ward,Fafi Sub County,GARISSA,-0.43668043700213377,40.28449941384711
Korondile Ward,Wajir North Sub County,WAJIR,2.775223568877282,39.22517814970805
Elnur/tula tula Ward,Eldas Sub County,WAJIR,2.212408108826022,39.484568789686186
TAKABA SOUTH,MANDERA WEST,MANDERA,3.2378878256257098,40.322361140024434
TAKABA,MANDERA WEST,MANDERA,3.5037404629286213,40.07764213585428
Benane Ward,Wajir South Sub County,WAJIR,0.598808403818916,40.399931693539244
Burder Ward,Wajir South Sub County,WAJIR,1.222765362969131,40.524622231253474
Junju Ward,Kilifi South Sub County,Kilifi,-3.827134072745029,39.77762958089052
Mayoni Ward,Matungu Sub County,Kakamega,0.3760898076349126,34.46060590723444
Namamali Ward,Matungu Sub County,Kakamega,0.4391376706525842,34.405033111977374
Marama West Ward,Butere Sub County,Kakamega,0.24370973002989296,34.566431963977585
Marama Central Ward,Butere Sub County,Kakamega,0.24969462551324317,34.496951173195136
Marenyo-shianda Ward,Butere Sub County,Kakamega,0.1829384855467978,34.51727653674054
Marama North Ward,Butere Sub County,Kakamega,0.2048191050421478,34.580422666189
Marama South Ward,Butere Sub County,Kakamega,0.1769788670987889,34.45860206115451
Kisa East Ward,Khwisero Sub County,Kakamega,0.13678129142212572,34.632768480456186
Kisa West Ward,Khwisero Sub County,Kakamega,0.13164938968137171,34.4985403891952
Kisa Central Ward,Khwisero Sub County,Kakamega,0.1456056587812498,34.56248313812953
Isukha North Ward,Shinyalu Sub County,Kakamega,0.3580250520400979,34.883778400152885
Murhanda Ward,Shinyalu Sub County,Kakamega,0.2665342614413382,34.810407773594754
Isukha Central Ward,Shinyalu Sub County,Kakamega,0.2240883426037797,34.823099461450795
Isukha South Ward,Shinyalu Sub County,Kakamega,0.2061366206078722,34.781939166252045
Isukha East Ward,Shinyalu Sub County,Kakamega,0.2789579239601439,34.893549720962916
Isukha West Ward,Shinyalu Sub County,Kakamega,0.2304253794985962,34.73774649463894
Idakho South Ward,Ikolomani Sub County,Kakamega,0.15086881834844487,34.703290827769976
Idakho East Ward,Ikolomani Sub County,Kakamega,0.16720551911707954,34.76192103186165
Idakho North Ward,Ikolomani Sub County,Kakamega,0.2272020584961687,34.67867470513471
Idakho Central Ward,Ikolomani Sub County,Kakamega,0.19036920545975344,34.68884924281964
Malaba Central Ward,Teso North Sub County,Busia,0.6288903453024987,34.28831240385129
Malaba North Ward,Teso North Sub County,Busia,0.6567270870147439,34.31920789136382
Ang'urai South Ward,Teso North Sub County,Busia,0.6764121115605928,34.36899123380971
Ang'urai North Ward,Teso North Sub County,Busia,0.7311492768265317,34.34369833256817
Ang'urai East Ward,Teso North Sub County,Busia,0.7358012180421666,34.398250815212265
Malaba South Ward,Teso North Sub County,Busia,0.6078590192617597,34.313400785791785
Ang'orom Ward,Teso South Sub County,Busia,0.47784946621141655,34.130123555343914
Chakol South Ward,Teso South Sub County,Busia,0.5110357150000646,34.16355915786965
Chakol North Ward,Teso South Sub County,Busia,0.5578373180055443,34.18495941394003
Amukura West Ward,Teso South Sub County,Busia,0.5926702196307845,34.21892747515981
Amukura East Ward,Teso South Sub County,Busia,0.5473716285059143,34.30022577460078
Githioro Ward,Kipipiri Sub County,NYANDARUA,-0.49585146822809284,36.465830966376835
Mbitini Ward,Kitui Rural Sub County,KITUI,-1.5517825180809997,38.08391795740785
Kanjuiri range Ward,Olkalou Sub County,NYANDARUA,-0.3006222316169857,36.269210659710744
Amukura Central Ward,Teso South Sub County,Busia,0.5275433091590992,34.247515924405654
Zombe/mwitika Ward,Kitui East Sub County,KITUI,-1.4496739460808337,38.288942940887004
MOYALE TOWNSHIP,MOYALE,MARSABIT,3.521389761344073,39.05363686981952
URAN,MOYALE,MARSABIT,3.076908712215006,38.58910947029791
OBBU,MOYALE,MARSABIT,3.100270705076953,38.81889285502242
DUKANA,NORTH HORR,MARSABIT,3.956695335545365,37.21745161236756
MAIKONA,NORTH HORR,MARSABIT,3.2213510731625763,37.724889560502355
WARGADUD,MANDERA SOUTH,MANDERA,3.087735138436501,40.8068523181794
Rurii Ward,Olkalou Sub County,NYANDARUA,-0.21536991821097387,36.373840848665594
Chewele Ward,Bura Sub County,TANA RIVER,-0.8735586836071889,39.70202796332014
KARARE,SAKU,MARSABIT,2.2499668527493113,37.88382386195715
MARSABIT CENTRAL,SAKU,MARSABIT,2.4431118340024893,37.91551207772723
LOIYANGALANI,LAISAMIS,MARSABIT,2.8995658556128565,36.717788581300276
Madogo Ward,Bura Sub County,TANA RIVER,-0.3265047890660629,39.310583986964126
Mayenje Ward,Matayos Sub County,Busia,0.4271139734842065,34.10508209269688
Marachi West Ward,Butula Sub County,Busia,0.30451584174118784,34.20884298362188
Karima Ward,Nyeri South Sub County,NYERI,-0.5421719892378765,36.97196606858764
Gikondi Ward,Mukurweini Sub County,NYERI,-0.5988665582228414,37.06281577256841
Rugi Ward,Mukurweini Sub County,NYERI,-0.5985517291786429,37.112285427625686
Mukurwe-ini west Ward,Mukurweini Sub County,NYERI,-0.5440469560663534,37.02154450541
Mukurwe-ini central Ward,Mukurweini Sub County,NYERI,-0.5682784998703256,37.10781598821187
Kiganjo/mathari Ward,Nyeri Central Sub County,NYERI,-0.39679802120899454,36.966724974271315
Rware Ward,Nyeri Central Sub County,NYERI,-0.422577234500718,36.94890425503096
Gatitu/muruguru Ward,Nyeri Central Sub County,NYERI,-0.44163282037966634,37.00336057524132
RURING'U / Karia Ward,Nyeri Central Sub County,NYERI,-0.45308469699909837,36.96067301177108
Kamakwa/mukaro Ward,Nyeri Central Sub County,NYERI,-0.43955620517019495,36.91846494045551
Mutithi Ward,Kirinyaga North/Mwea West Sub County,KIRINYAGA,-0.698594154234625,37.28014787472286
Kangai Ward,Kirinyaga North/Mwea West Sub County,KIRINYAGA,-0.6176741382210664,37.298262660312915
Thiba Ward,Kirinyaga North/Mwea West Sub County,KIRINYAGA,-0.6782389508975452,37.3291069039315
Wamumu Ward,Kirinyaga North/Mwea West Sub County,KIRINYAGA,-0.7371386252135629,37.3760285895928
Nyangati Ward,Kirinyaga South Sub County,KIRINYAGA,-0.5922574990382494,37.34814520033892
Murinduko Ward,Kirinyaga South Sub County,KIRINYAGA,-0.6179234440372683,37.43546248230321
Gathigiriri Ward,Kirinyaga South Sub County,KIRINYAGA,-0.6600450420943355,37.39182012857644
Tebere Ward,Kirinyaga South Sub County,KIRINYAGA,-0.6944459335625845,37.40115182082202
Kabare Ward,Kirinyaga East Sub County,KIRINYAGA,-0.4856243402618964,37.315686871093675
Baragwi Ward,Kirinyaga East Sub County,KIRINYAGA,-0.5070145917950182,37.3468278901674
Njukiine Ward,Kirinyaga East Sub County,KIRINYAGA,-0.5125055666505581,37.40117521776855
Ngariama Ward,Kirinyaga East Sub County,KIRINYAGA,-0.44557162816611723,37.39855203428825
Karumandi Ward,Kirinyaga East Sub County,KIRINYAGA,-0.4462485768319679,37.35096803052306
Mukure Ward,Kirinyaga West Sub County,KIRINYAGA,-0.5113432075328281,37.215957992219856
Kiine Ward,Kirinyaga West Sub County,KIRINYAGA,-0.5563586307893462,37.20433852212435
Kariti Ward,Kirinyaga West Sub County,KIRINYAGA,-0.6199736697109416,37.19322206434347
Marachi East Ward,Butula Sub County,Busia,0.38116827861919156,34.37262736543999
Marachi North Ward,Butula Sub County,Busia,0.34021534152170463,34.34839887703464
Elugulu Ward,Butula Sub County,Busia,0.3645433530942971,34.30837822409551
Namboboto Nambuku Ward,Samia Sub County,Busia,0.3161906306492473,34.10735944992437
Nangina Ward,Samia Sub County,Busia,0.2733172543763906,34.11576148663297
Ageng'a Nanguba Ward,Samia Sub County,Busia,0.2290593697575939,34.06282470719157
Bwiri Ward,Samia Sub County,Busia,0.1747145194232621,34.05488889735545
Kiru Ward,Mathioya Sub County,Muranga,-0.6330197423106406,36.80737525364342
Kamacharia Ward,Mathioya Sub County,Muranga,-0.6035795766439018,37.00817651799738
Wangu Ward,Kiharu Sub County,Muranga,-0.7189054905148556,37.02521632645442
Mugoiri Ward,Kiharu Sub County,Muranga,-0.7586904464790826,37.034298960655775
Mbiri Ward,Kiharu Sub County,Muranga,-0.7336229089970037,37.190366080808815
Township Ward,Kiharu Sub County,Muranga,-0.7254373387836482,37.14927469071586
Murarandia Ward,Kiharu Sub County,Muranga,-0.7337867266683401,36.9255319905506
Elburgon Ward,Molo  Sub County,Nakuru,-0.301133813017741,35.79136987477687
Njoro Ward,Njoro  Sub County,Nakuru,-0.3440006735539309,35.944586494293425
Biashara Ward,Naivasha  Sub County,Nakuru,-0.6818729389754584,36.50445041316939
Hells Gate Ward,Naivasha  Sub County,Nakuru,-0.8043571478230613,36.475764824935844
Gaturi Ward,Kiharu Sub County,Muranga,-0.6633351600514087,37.11825828100168
Kahumbu Ward,Kigumo Sub County,Muranga,-0.8601966129654898,37.08184102957652
Amalo Ward,Kuresoi South  Sub County,Nakuru,-0.6223600550758949,35.66363684638444
Keringet Ward,Kuresoi South  Sub County,Nakuru,-0.46062425907327137,35.69782934929938
Kiptagich Ward,Kuresoi South  Sub County,Nakuru,-0.5829369310604477,35.609070593407814
Tinet Ward,Kuresoi South  Sub County,Nakuru,-0.48207987884313536,35.59620253939926
Kaeris Ward,Turkana North Sub County,TURKANA,3.949281450655188,35.43347336800279
Lakezone Ward,Turkana North Sub County,TURKANA,4.101065975431693,35.801469217421015
Lapur Ward,Turkana North Sub County,TURKANA,4.6103634895747385,35.70613397760811
Kaaleng/kaikor Ward,Kibish Sub County,TURKANA,4.564853211568061,35.269261371207634
Muthithi Ward,Kigumo Sub County,Muranga,-0.8374255643208907,37.089072661826144
Kigumo Ward,Kigumo Sub County,Muranga,-0.8123636488501116,36.9906073726646
Kangari Ward,Kigumo Sub County,Muranga,-0.7375973722109396,36.789870928786655
Kinyona Ward,Kigumo Sub County,Muranga,-0.7598150923864226,36.891339869322685
Kimorori/wempa Ward,Muranga South Sub County,Muranga,-0.9507310069588016,37.16544189434292
Makuyu Ward,Muranga South Sub County,Muranga,-0.9150548514002498,37.24215828623506
Kambiti Ward,Muranga South Sub County,Muranga,-0.8097172901636296,37.2190105698777
Kamahuhu Ward,Muranga South Sub County,Muranga,-0.841372237917004,37.17169600076086
Ichagaki Ward,Muranga South Sub County,Muranga,-0.8090427976661004,37.12178392509718
Nginda Ward,Muranga South Sub County,Muranga,-0.7872167941644531,37.08191962907131
Ng'araria Ward,Kandara Sub County,Muranga,-0.9369947242171675,37.02702074802347
Muruka Ward,Kandara Sub County,Muranga,-0.9274376110052741,37.056282576125184
Kagundu-ini Ward,Kandara Sub County,Muranga,-0.9064310996054579,37.071343841962765
Gaichanjiru Ward,Kandara Sub County,Muranga,-0.8721839632067558,37.04989335763834
Ithiru Ward,Kandara Sub County,Muranga,-0.8813971832192662,36.98836881617399
Ruchu Ward,Kandara Sub County,Muranga,-0.8322382764485314,36.921451515970375
Ithanga Ward,Gatanga Sub County,Muranga,-0.9943516537793847,37.34835478142664
Kakuzi/mitubiri Ward,Gatanga Sub County,Muranga,-1.0197020708251199,37.238576110856044
Kingandole Ward,Butula Sub County,Busia,0.3538613320728882,34.23452733178469
Leshau/pondo Ward,Ndaragwa Sub County,NYANDARUA,0.05632908247546141,36.48575499823678
Lopur Ward,Turkana West Sub County,TURKANA,3.8824268712789745,34.980410517384655
Letea Ward,Turkana West Sub County,TURKANA,3.373993216508287,34.700632623493014
Songot Ward,Turkana West Sub County,TURKANA,4.164097566204881,34.796043144781805
Mugumo-ini Ward,Gatanga Sub County,Muranga,-0.9847351104548335,37.0311185624262
Kihumbu-ini Ward,Gatanga Sub County,Muranga,-0.9222479767342918,36.97510440768074
Gatanga Ward,Gatanga Sub County,Muranga,-0.9137284502495039,36.92498588237871
Kariara Ward,Gatanga Sub County,Muranga,-0.8171678351350375,36.80779220027738
Moi's Bridge Ward,Soy Sub County,Uasin Gishu,0.8910562539365185,35.166867184566186
Masalani Ward,Ijara Sub County,GARISSA,-1.7485799598211544,40.281304753895924
Kapkures Ward,Soy Sub County,Uasin Gishu,0.8438993772258908,35.15694423777425
Ziwa Ward,Soy Sub County,Uasin Gishu,0.8326093230373004,35.268470974608036
Soy Ward,Soy Sub County,Uasin Gishu,0.7133711708807142,35.24476111912994
Kuinet/kapsuswa Ward,Soy Sub County,Uasin Gishu,0.6256279495161333,35.297600446855306
Ngenyilel Ward,Turbo Sub County,Uasin Gishu,0.5808070144137413,34.94974709540194
Tapsagoi Ward,Turbo Sub County,Uasin Gishu,0.5928356933079635,35.07158440160621
Kamagut Ward,Turbo Sub County,Uasin Gishu,0.5925763882063488,35.15719111028494
Kiplombe Ward,Turbo Sub County,Uasin Gishu,0.6252407709981048,35.229811997866804
Kapsaos Ward,Turbo Sub County,Uasin Gishu,0.5613160871582693,35.22877605793535
Huruma Ward,Turbo Sub County,Uasin Gishu,0.5266142693103514,35.2492041281781
Gurar Ward,Wajir North Sub County,WAJIR,3.3758363109780363,39.64525560891897
Waita Ward,Mwingi Central Sub- County,KITUI,-0.8001842213173476,38.144559882940875
Mutongoni Ward,Kitui West  Sub County,KITUI,-1.185112491789108,37.97582597840033
Kauwi Ward,Kitui West  Sub County,KITUI,-1.196493643622394,37.84621238829198
Matinyani Ward,Kitui West  Sub County,KITUI,-1.2992190147543208,37.983304481912896
Kwamutonga/kithumula Ward,Kitui West  Sub County,KITUI,-1.2927098021352241,37.878408375124
Karatina town Ward,Mathira East Sub County,NYERI,-0.4524109893945012,37.11209865492358
Mahiga Ward,Nyeri South Sub County,NYERI,-0.510113229037463,36.769710717512524
Voo/kyamatu Ward,Kitui East Sub County,KITUI,-1.585333856892185,38.423447858054026
Endau/malalani Ward,Kitui East Sub County,KITUI,-1.2838129719295965,38.720498853909106
Mutitu/kaliku Ward,Kitui East Sub County,KITUI,-1.2736656208245491,38.29873983791212
Ikanga/kyatune Ward,Kitui South Sub County,KITUI,-1.731422897108731,38.080600867687956
Emali/Mulala Ward,Kibwezi West  Sub County,MAKUENI,-2.040329476088993,37.50830285607515
Masongaleni Ward,Kibwezi East  Sub County,MAKUENI,-2.458668273603555,38.166756087293955
Mtito Andei Ward,Kibwezi East  Sub County,MAKUENI,-2.7076254967341367,38.29316248703256
Thange Ward,Kibwezi East  Sub County,MAKUENI,-2.5039638280058054,37.88836340572133
Ivingoni/Nzambani Ward,Kibwezi East  Sub County,MAKUENI,-2.6547032346476973,38.044943444243124
Engineer Ward,Kinangop Sub County,NYANDARUA,-0.6353863868207483,36.55868163979365
Gathara Ward,Kinangop Sub County,NYANDARUA,-0.6220873823677064,36.62157585834038
North kinangop Ward,Kinangop Sub County,NYANDARUA,-0.5303660786397576,36.62539917641517
Murungaru Ward,Kinangop Sub County,NYANDARUA,-0.5225287459919463,36.52933433596314
Wanjohi Ward,Kipipiri Sub County,NYANDARUA,-0.31200619603654633,36.49452315247612
Kipipiri Ward,Kipipiri Sub County,NYANDARUA,-0.4077932869341958,36.461711589605315
Mutira Ward,Kirinyaga Central Sub County,KIRINYAGA,-0.4666007114137307,37.23379890628967
Kanyekini Ward,Kirinyaga Central Sub County,KIRINYAGA,-0.5541982347278431,37.27718768522399
Kerugoya Ward,Kirinyaga Central Sub County,KIRINYAGA,-0.49808454130408275,37.28449534643541
Inoi Ward,Kirinyaga Central Sub County,KIRINYAGA,-0.3402350536257184,37.30743788331168
Kerio Delta Ward,Turkana Central Sub County,TURKANA,2.8479728877281096,36.06909108186355
KANG'ATOTHA Ward,Turkana Central Sub County,TURKANA,3.241655540992677,35.939346521672284
Kalokol Ward,Turkana Central Sub County,TURKANA,3.4531190258599502,35.71205939021769
Mathare North Ward,Ruaraka  Sub County,Nairobi,-1.2532569340283126,36.87065050149124
Marachi Central Ward,Butula Sub County,Busia,0.3457247354895041,34.273235820445144
Bunyala Central Ward,Bunyala Sub County,Busia,0.06839440754890365,34.041231671576554
Imara Daima Ward,Embakasi South Sub County,Nairobi,-1.3212907612288842,36.87683458343351
Tembelio Ward,Moiben Sub County,Uasin Gishu,0.5599632727362006,35.42012510498885
Sergoit Ward,Moiben Sub County,Uasin Gishu,0.639202695212171,35.368132382233625
Karuna/meibeki Ward,Moiben Sub County,Uasin Gishu,0.819711939481531,35.438530134350444
Moiben Ward,Moiben Sub County,Uasin Gishu,0.7731559839250768,35.36697566953563
Kimumu Ward,Moiben Sub County,Uasin Gishu,0.550404745556258,35.288271969626756
Kapsoya Ward,Ainabkoi Sub County,Uasin Gishu,0.5100043934287088,35.32595646972042
Kaptagat Ward,Ainabkoi Sub County,Uasin Gishu,0.4197525489155785,35.42373598423903
Ainabkoi/olare Ward,Ainabkoi Sub County,Uasin Gishu,0.20413916897516635,35.499700378710976
Simat/ Kapseret Ward,Kapseret Sub County,Uasin Gishu,0.4723847967422181,35.20131617365697
Kipkenyo Ward,Kapseret Sub County,Uasin Gishu,0.5165418737794162,35.24166418136081
Bunyala North Ward,Bunyala Sub County,Busia,0.13379128026995904,34.03746862644541
Bunyala West Ward,Bunyala Sub County,Busia,0.09719508086988494,33.98274461773444
Bunyala South Ward,Bunyala Sub County,Busia,0.03321679504100384,34.0052719931804
Mariashoni Ward,Molo  Sub County,Nakuru,-0.40589215531060474,35.8121333691398
Turi Ward,Molo  Sub County,Nakuru,-0.29937261903440804,35.73826122866389
Molo Ward,Molo  Sub County,Nakuru,-0.22489226166910817,35.764930797320744
Mau Narok Ward,Njoro  Sub County,Nakuru,-0.6212505452630347,35.98803499404953
Mauche Ward,Njoro  Sub County,Nakuru,-0.5063971883311362,35.945460440059996
Kihingo Ward,Njoro  Sub County,Nakuru,-0.4708295625515871,36.02238154260597
Nessuit Ward,Njoro  Sub County,Nakuru,-0.4056459243418253,35.89188907379725
Lare Ward,Njoro  Sub County,Nakuru,-0.41840421254113136,36.007293741446276
Kilgoris Central  Ward,Transmara West Sub County,Narok,-1.0018455644605464,34.93413666982777
Lake View Ward,Naivasha  Sub County,Nakuru,-0.7476062443654697,36.44913918206546
Mai Mahiu Ward,Naivasha  Sub County,Nakuru,-1.007036016980239,36.48283854295699
Maeilla Ward,Naivasha  Sub County,Nakuru,-0.7816890828107387,36.237200209393315
Olkaria Ward,Naivasha  Sub County,Nakuru,-0.8990577309046702,36.36296055367189
Naivasha East Ward,Naivasha  Sub County,Nakuru,-0.8043794713011575,36.520852480942146
Viwandani Ward,Naivasha  Sub County,Nakuru,-0.7365927648795467,36.40535355300707
Gilgil Ward,Gilgil Sub County,Nakuru,-0.47209888864570043,36.29995837613535
Elementaita Ward,Gilgil Sub County,Nakuru,-0.5848962834692064,36.10452952717266
Mbaruk/eburu Ward,Gilgil Sub County,Nakuru,-0.5185083458629608,36.2330853529789
Malewa West Ward,Gilgil Sub County,Nakuru,-0.6695125683687733,36.37219049772405
Murindat Ward,Gilgil Sub County,Nakuru,-0.46223519598832136,36.35233147243304
Kibish Ward,Kibish Sub County,TURKANA,5.124133359544516,35.443175873185396
Lokichoggio Ward,Turkana West Sub County,TURKANA,4.243289617228198,34.22159573275648
Turkwel Ward,Loima Sub County,TURKANA,3.1741476012451293,35.31353299063064
Lokiriama/Lorengippi Ward,Loima Sub County,TURKANA,2.7298280046085255,34.87337216516428
Kaputir Ward,Turkana South Sub County,TURKANA,2.160016567903109,35.38323581991289
Lobokat Ward,Turkana South Sub County,TURKANA,1.8904377422983885,35.61125820961715
Kalapata Ward,Turkana South Sub County,TURKANA,2.431405338031095,35.976380302649204
Kapenguria Ward,West Pokot Sub County,WEST POKOT,1.3144338702781397,35.1202386200237
Mnagei Ward,West Pokot Sub County,WEST POKOT,1.2539741702172653,35.0545421083489
Siyoi Ward,West Pokot Sub County,WEST POKOT,1.21965844548606,35.165081122755666
Endugh Ward,West Pokot Sub County,WEST POKOT,1.739636567681204,35.26268882824956
Sook Ward,West Pokot Sub County,WEST POKOT,1.587475304094377,35.30184424924234
Sekerr Ward,Pokot Central Sub County,WEST POKOT,1.7022841611428272,35.4345003786092
Masool Ward,Pokot Central Sub County,WEST POKOT,1.6015705857627218,35.64863511681107
