Ward,Latitude,Longitude,Irradiance_kWh/m2/day,Ambient_Temperature_C
Isibania Ward,-1.2379317503139964,34.4783879846382,5.84,20.6
Airport Ward,-4.033415742948509,39.605581420977806,5.52,26.1
FAZA,-2.1036031665223285,41.07189101852296,6.01,26.7
KIUNGA,-1.800858463443165,41.37196582871058,5.85,26.6
BASUBA,-1.8323624317204787,41.03157871650667,5.56,27.2
SHELLA,-2.272048016989966,40.939880707768594,6.02,27.1
MKOMAMI,-2.288753095584916,40.85523015485564,5.94,27.3
HINDI,-2.034893837650555,40.73644986438626,5.47,27.3
Bangale Ward,-0.4310120081770396,38.93578650674843,5.78,27.0
Sala Ward,-0.5839611599577819,39.61288783715112,5.64,27.9
HONGWE,-2.3811689708487545,40.62442392192648,5.55,26.8
Lusheya Lubinu Ward,0.299510219017736,34.53564878629545,6.12,22.1
Malaha Isongo Makunga Ward,0.3167834260152128,34.60973236663272,6.1,22.3
East Wanga Ward,0.3476873916407212,34.57131442600467,6.11,22.1
Koyonzo Ward,0.3688735388832237,34.4160351428506,6.12,22.1
Kholera Ward,0.4248663563715708,34.501939300024844,6.12,21.9
Khalaba Ward,0.4268088376412721,34.55838989436969,6.12,22.3
Chala Ward,-3.2675036278814087,37.75565730552813,5.74,21.6
Mokerero Ward,-1.2303809195071245,34.507161775318046,5.86,21.0
Mata Ward,-3.516895943995938,37.97862355753509,5.35,22.8
Tagare Ward,-1.1689809616594014,34.47376299660114,5.9,21.9
Wundanyi/mbale Ward,-3.3908918137373067,38.378141987273565,5.28,19.4
Wumingu/kishushe Ward,-3.0230295623437886,38.18077847256254,5.26,22.4
Nyamosense/komosoko Ward,-1.1802710245240895,34.42568611770971,5.86,21.9
Gokeharaka/getambwega Ward,-1.2608975326743712,34.56346843627557,5.87,20.6
Ntimaru East Ward,-1.314682828433294,34.69720012202191,5.88,20.1
Nyabasi East Ward,-1.2639096378099566,34.66822061256636,5.93,20.9
Nyabasi West Ward,-1.2597182141245449,34.6284176797616,5.92,21.3
East Kamagambo Ward,-0.7348691870711177,34.57285103878081,5.97,22.3
Kivaa Ward,-0.9344553489932824,37.76527422287865,5.52,22.8
Masinga Central Ward,-0.9802474945418092,37.636067470004,5.53,22.1
Ekalakala Ward,-0.986730820189538,37.51301240286361,5.53,21.9
Muthesya Ward,-0.9298021387680808,37.40173672592984,5.57,21.7
Mananja Ward,-0.8672748176489643,37.30517017709996,5.62,20.8
Ndalani Ward,-1.0599464991581566,37.459881083986886,5.5,21.7
Matuu Ward,-1.139798011644615,37.56006634293983,5.51,21.4
Kithimani Ward,-1.1691862996581237,37.45743680879482,5.55,20.9
Ikombe Ward,-1.2773056788117323,37.62250238970306,5.52,20.9
Katangi Ward,-1.420733111995624,37.72770927953941,5.47,20.8
